,pref,pop_dens,pref_no
1,Hokkaido,235 ,1
2,Gunma,852 ,10
3,Saitama,2844 ,11
4,Chiba,1761 ,12
5,Tokyo,9793 ,13
6,Kanagawa,6253 ,14
7,Niigata,490 ,15
8,Toyama,567 ,16
9,Ishikawa,818 ,17
10,Fukui,713 ,18
11,Yamanashi,850 ,19
12,Aomori,386 ,2
13,Nagano,635 ,20
14,Gifu,899 ,21
15,Shizuoka,1325 ,22
16,Aichi,2527 ,23
17,Mie,865 ,24
18,Shiga,1082 ,25
19,Kyoto,2201 ,26
20,Osaka,6620 ,27
21,Hyogo,1964 ,28
22,Nara,1555 ,29
23,Iwate,330 ,3
24,Wakayama,830 ,30
25,Tottori,617 ,31
26,Shimane,519 ,32
27,Okayama,852 ,33
28,Hiroshima,1213 ,34
29,Yamaguchi,796 ,35
30,Tokushima,721 ,36
31,Kagawa,951 ,37
32,Ehime,800 ,38
33,Kochi,600 ,39
34,Miyagi,731 ,4
35,Fukuoka,1848 ,40
36,Saga,610 ,41
37,Nagasaki,792 ,42
38,Kumamoto,625 ,43
39,Oita,631 ,44
40,Miyazaki,580 ,45
41,Kagoshima,484 ,46
42,Okinawa,1243 ,47
43,Akita,302 ,5
44,Yamagata,374 ,6
45,Fukushima,438 ,7
46,Ibaraki,719 ,8
47,Tochigi,648 ,9
48,Hokkaido,235 ,1
49,Gunma,852 ,10
50,Saitama,2844 ,11
51,Chiba,1761 ,12
52,Tokyo,9793 ,13
53,Kanagawa,6253 ,14
54,Niigata,490 ,15
55,Toyama,567 ,16
56,Ishikawa,818 ,17
57,Fukui,713 ,18
58,Yamanashi,850 ,19
59,Aomori,386 ,2
60,Nagano,635 ,20
61,Gifu,899 ,21
62,Shizuoka,1325 ,22
63,Aichi,2527 ,23
64,Mie,865 ,24
65,Shiga,1082 ,25
66,Kyoto,2201 ,26
67,Osaka,6620 ,27
68,Hyogo,1964 ,28
69,Nara,1555 ,29
70,Iwate,330 ,3
71,Wakayama,830 ,30
72,Tottori,617 ,31
73,Shimane,519 ,32
74,Okayama,852 ,33
75,Hiroshima,1213 ,34
76,Yamaguchi,796 ,35
77,Tokushima,721 ,36
78,Kagawa,951 ,37
79,Ehime,800 ,38
80,Kochi,600 ,39
81,Miyagi,731 ,4
82,Fukuoka,1848 ,40
83,Saga,610 ,41
84,Nagasaki,792 ,42
85,Kumamoto,625 ,43
86,Oita,631 ,44
87,Miyazaki,580 ,45
88,Kagoshima,484 ,46
89,Okinawa,1243 ,47
90,Akita,302 ,5
91,Yamagata,374 ,6
92,Fukushima,438 ,7
93,Ibaraki,719 ,8
94,Tochigi,648 ,9
95,Hokkaido,235 ,1
96,Gunma,852 ,10
97,Saitama,2844 ,11
98,Chiba,1761 ,12
99,Tokyo,9793 ,13
100,Kanagawa,6253 ,14
101,Niigata,490 ,15
102,Toyama,567 ,16
103,Ishikawa,818 ,17
104,Fukui,713 ,18
105,Yamanashi,850 ,19
106,Aomori,386 ,2
107,Nagano,635 ,20
108,Gifu,899 ,21
109,Shizuoka,1325 ,22
110,Aichi,2527 ,23
111,Mie,865 ,24
112,Shiga,1082 ,25
113,Kyoto,2201 ,26
114,Osaka,6620 ,27
115,Hyogo,1964 ,28
116,Nara,1555 ,29
117,Iwate,330 ,3
118,Wakayama,830 ,30
119,Tottori,617 ,31
120,Shimane,519 ,32
121,Okayama,852 ,33
122,Hiroshima,1213 ,34
123,Yamaguchi,796 ,35
124,Tokushima,721 ,36
125,Kagawa,951 ,37
