"","pref","pop_dens"
"1","Hokkaido","235"
"2","Aomori","386"
"3","Iwate","330"
"4","Miyagi","731"
"5","Akita","302"
"6","Yamagata","374"
"7","Fukushima","438"
"8","Ibaraki","719"
"9","Tochigi","648"
"10","Gunma","852"
"11","Saitama","2844"
"12","Chiba","1761"
"13","Tokyo","9793"
"14","Kanagawa","6253"
"15","Niigata","490"
"16","Toyama","567"
"17","Ishikawa","818"
"18","Fukui","713"
"19","Yamanashi","850"
"20","Nagano","635"
"21","Gifu","899"
"22","Shizuoka","1325"
"23","Aichi","2527"
"24","Mie","865"
"25","Shiga","1082"
"26","Kyoto","2201"
"27","Osaka","6620"
"28","Hyogo","1964"
"29","Nara","1555"
"30","Wakayama","830"
"31","Tottori","617"
"32","Shimane","519"
"33","Okayama","852"
"34","Hiroshima","1213"
"35","Yamaguchi","796"
"36","Tokushima","721"
"37","Kagawa","951"
"38","Ehime","800"
"39","Kochi","600"
"40","Fukuoka","1848"
"41","Saga","610"
"42","Nagasaki","792"
"43","Kumamoto","625"
"44","Oita","631"
"45","Miyazaki","580"
"46","Kagoshima","484"
"47","Okinawa","1243"
