date,éDñy,ê¬êX,ê∑â™,êÂë‰,èHìc,éRå`,ïüìá,êÖåÀ,âFìsã{,ëOã¥,Ç≥Ç¢ÇΩÇ‹,êÁót,ìåãû,â°ïl,êVäÉ,ïxéR,ã‡ëÚ,ïüà‰,çbï{,í∑ñÏ,äÚïå,ê√â™,ñºå√âÆ,í√,ëÂí√,ãûìs,ëÂç„,ê_åÀ,ìﬁó«,òaâÃéR,íπéÊ,èºç],â™éR,çLìá,éRå˚,ìøìá,çÇèº,èºéR,çÇím,ïüâ™,ç≤âÍ,í∑çË,åFñ{,ëÂï™,ã{çË,é≠éôìá,ìﬂîe
2020/2/20,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/21,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/22,4.5,7,6.5,0,9,0.5,0,5,0,0,1,8.5,2.5,3,4.5,5,2.5,9,2,0.5,8.5,20.5,4.5,5,13,11,16,10,19.5,14,0,7,5,10,13,1,3.5,12.5,7,9.5,14.5,13.5,15,1.5,0,4.5,0
2020/2/23,13.5,1,3,4,0.5,17.5,9.5,0,0,0,0,0,0,0,5.5,1.5,1.5,6.5,0,3,0.5,0,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/24,7.5,2.5,3.5,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/25,5.5,0,0,2,0,1.5,2.5,4.5,4,3.5,1,0,0,0,4.5,18.5,17,8,0,11.5,6,1.5,4,1.5,4,4,3.5,4.5,4.5,1,4,14,2.5,7,7,0.5,4.5,2,0,7,6.5,8,16,0,0,0,0
2020/2/26,0,0,1.5,2.5,0,1.5,1,1.5,0.5,1,1.5,1,3,1.5,1.5,6.5,2.5,0.5,0,1,1.5,5,2.5,3,4.5,3,8,5,6,3,9,2,1.5,0,0,1.5,2,0,0.5,2,0,0,0,1.5,0,0,0
2020/2/27,2.5,5.5,0,0.5,0.5,2,0,0,0,0,0,0,0,0,3.5,9,7.5,2.5,0,0.5,0,0,0,0,1,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
2020/2/28,6.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,4,8.5,0,0,2.5,2.5,11,17,4,5.5,9,4.5,3,0
2020/2/29,1,0,1,0,4.5,0,0,0,0,0,0,2,1,1.5,0,0,0.5,0,0,0,0.5,9.5,6,13.5,10,7,10,7,12.5,16,0,1.5,5,6.5,8.5,12,11.5,13,22,14.5,22.5,10,22.5,26.5,20.5,34,0
2020/3/1,3.5,0.5,1,0,0,0,0,0,0,0,0,1,0.5,0.5,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.5,0,1,2,0,1,5.5,7.5,7,9.5,13.5,19.5
2020/3/2,1.5,1,10.5,6,4.5,1.5,3,3,3.5,1,4,3,10,11.5,2,0.5,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2
2020/3/3,2.5,0,2.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,6.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/4,1.5,0,4.5,5.5,0,0.5,6,14.5,0,0,1,8,1.5,3,0.5,10.5,12,9.5,0,0,11.5,14,6.5,15,7,9,14.5,16,8.5,20,12,5,20,6,2.5,15.5,18.5,22,30.5,0,1,2,9,1,0.5,5,3
2020/3/5,28,11.5,3.5,0.5,11,6.5,4,7,0,0,0.5,2.5,1,0.5,5,7.5,7,11,0,1.5,1,0.5,1,1,2.5,3,0.5,1.5,1,0,5.5,2.5,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,10
2020/3/6,0,0.5,0.5,0,1.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/7,0,0,0,0,0,0,0,0,0,0,1.5,0.5,1.5,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,1.5,9.5,15,9.5,26,28.5,1,4.5,7,24,19.5,22,15,12.5,22.5,13,10,13
2020/3/8,0,0,0,3,0,0.5,6,0,0.5,0.5,3.5,5.5,6,13,0,1,5.5,13,9,0.5,21.5,39.5,41.5,36.5,11.5,10,8.5,8.5,19.5,10,14,10,18.5,9,1,26.5,14.5,18.5,30,0,0,0,0,2,0,0,0
2020/3/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5,16,0,0,2,1,17.5,12,5.5,4.5,7.5,23,19,19.5
2020/3/10,24,11.5,45.5,20.5,12.5,13,18,15.5,38.5,13.5,11.5,20.5,24.5,26,14.5,11.5,31,25,29,9.5,32.5,70,42.5,33,24.5,19.5,18,10,22.5,9,29,50.5,10,26,80.5,5,5.5,3.5,25,41.5,18,10,11,4,21,17,31.5
