date_case,pref_no,pref,newcases,cumcases,death,cumdeath
2020/1/16,1,–kŠC“¹,0,0,0,0
2020/1/17,1,–kŠC“¹,0,0,0,0
2020/1/18,1,–kŠC“¹,0,0,0,0
2020/1/19,1,–kŠC“¹,0,0,0,0
2020/1/20,1,–kŠC“¹,0,0,0,0
2020/1/21,1,–kŠC“¹,0,0,0,0
2020/1/22,1,–kŠC“¹,0,0,0,0
2020/1/23,1,–kŠC“¹,0,0,0,0
2020/1/24,1,–kŠC“¹,0,0,0,0
2020/1/25,1,–kŠC“¹,0,0,0,0
2020/1/26,1,–kŠC“¹,0,0,0,0
2020/1/27,1,–kŠC“¹,0,0,0,0
2020/1/28,1,–kŠC“¹,1,1,0,0
2020/1/29,1,–kŠC“¹,0,1,0,0
2020/1/30,1,–kŠC“¹,0,1,0,0
2020/1/31,1,–kŠC“¹,0,1,0,0
2020/2/1,1,–kŠC“¹,0,1,0,0
2020/2/2,1,–kŠC“¹,0,1,0,0
2020/2/3,1,–kŠC“¹,0,1,0,0
2020/2/4,1,–kŠC“¹,0,1,0,0
2020/2/5,1,–kŠC“¹,0,1,0,0
2020/2/6,1,–kŠC“¹,0,1,0,0
2020/2/7,1,–kŠC“¹,0,1,0,0
2020/2/8,1,–kŠC“¹,0,1,0,0
2020/2/9,1,–kŠC“¹,0,1,0,0
2020/2/10,1,–kŠC“¹,0,1,0,0
2020/2/11,1,–kŠC“¹,0,1,0,0
2020/2/12,1,–kŠC“¹,0,1,0,0
2020/2/13,1,–kŠC“¹,0,1,0,0
2020/2/14,1,–kŠC“¹,1,2,0,0
2020/2/15,1,–kŠC“¹,0,2,0,0
2020/2/16,1,–kŠC“¹,0,2,0,0
2020/2/17,1,–kŠC“¹,0,2,0,0
2020/2/18,1,–kŠC“¹,0,2,0,0
2020/2/19,1,–kŠC“¹,2,4,0,0
2020/2/20,1,–kŠC“¹,1,5,0,0
2020/2/21,1,–kŠC“¹,3,8,0,0
2020/2/22,1,–kŠC“¹,9,17,0,0
2020/2/23,1,–kŠC“¹,9,26,0,0
2020/2/24,1,–kŠC“¹,4,30,0,0
2020/2/25,1,–kŠC“¹,5,35,0,0
2020/2/26,1,–kŠC“¹,4,39,1,1
2020/2/27,1,–kŠC“¹,15,54,1,2
2020/2/28,1,–kŠC“¹,12,66,0,2
2020/2/29,1,–kŠC“¹,4,70,0,2
2020/3/1,1,–kŠC“¹,2,72,1,3
2020/3/2,1,–kŠC“¹,5,77,0,3
2020/3/3,1,–kŠC“¹,2,79,0,3
2020/3/4,1,–kŠC“¹,3,82,0,3
2020/3/5,1,–kŠC“¹,1,83,0,3
2020/3/6,1,–kŠC“¹,7,90,0,3
2020/3/7,1,–kŠC“¹,8,98,0,3
2020/3/8,1,–kŠC“¹,3,101,0,3
2020/3/9,1,–kŠC“¹,7,108,0,3
2020/3/10,1,–kŠC“¹,3,111,0,3
2020/3/11,1,–kŠC“¹,7,118,0,3
2020/3/12,1,–kŠC“¹,10,128,1,4
2020/3/13,1,–kŠC“¹,9,137,0,4
2020/3/14,1,–kŠC“¹,7,144,0,4
2020/3/15,1,–kŠC“¹,4,148,1,5
2020/3/16,1,–kŠC“¹,4,152,1,6
2020/3/17,1,–kŠC“¹,0,152,0,6
2020/3/18,1,–kŠC“¹,2,154,0,6
2020/3/19,1,–kŠC“¹,3,157,0,6
2020/3/20,1,–kŠC“¹,1,158,0,6
2020/3/21,1,–kŠC“¹,1,159,0,6
2020/3/22,1,–kŠC“¹,3,162,0,6
2020/3/23,1,–kŠC“¹,0,162,0,6
2020/3/24,1,–kŠC“¹,1,163,0,6
2020/3/25,1,–kŠC“¹,4,167,1,7
2020/3/26,1,–kŠC“¹,1,168,0,7
