pref,jinko_2020
Hokkaido,5225
Aomori,1238
Iwate,1211
Miyagi,2302
Akita,960
Yamagata,1068
Fukushima,1833
Ibaraki,2867
Tochigi,1933
Gunma,1939
Saitama,7345
Chiba,6284
Tokyo,14048
Kanagawa,9237
Niigata,2201
Toyama,1035
Ishikawa,1133
Fukui,767
Yamanashi,810
Nagano,2048
Gifu,1979
Shizuoka,3633
Aichi,7542
Mie,1770
Shiga,1414
Kyoto,2578
Osaka,8838
Hyogo,5465
Nara,1324
Wakayama,923
Tottori,553
Shimane,671
Okayama,1888
Hiroshima,2800
Yamaguchi,1342
Tokushima,720
Kagawa,950
Ehime,1335
Kochi,692
Fukuoka,5135
Saga,811
Nagasaki,1312
Kumamoto,1738
Oita,1124
Miyazaki,1070
Kagoshima,1588
Okinawa,1467
