pref,pref_no,peak_1,end_1,start_2,peak_2,end_2,start_3,peak_3,end_3,start_4,peak_4,end_4,start_5,peak_5,end_5,start_6,peak_6,
Hokkaido,1,2020/5/3,2020/7/9,2020/7/10,2020/8/6,2020/9/9,2020/9/10,2020/11/24,2021/3/2,2021/3/3,2021/5/23,2021/7/3,2021/7/4,2021/8/24,2021/12/13,2021/12/14,2022/2/11,
Aomori,2,2020/4/11,2020/5/14,2020/5/15,2020/7/11,2020/9/3,2020/9/4,2020/10/21,2021/2/24,2021/2/25,2021/5/26,2021/6/22,2021/6/23,2021/9/1,2021/11/19,2021/11/20,2022/3/21,
Iwate,3,2020/4/15,2020/5/14,2020/5/15,2020/8/26,2020/9/11,2020/9/12,2020/12/17,2021/2/27,2021/2/28,2021/5/7,2021/6/23,2021/6/24,2021/8/20,2021/10/17,2021/10/18,2022/3/3,
Miyagi,4,2020/4/17,2020/5/14,2020/5/15,2020/7/17,2020/9/26,2020/9/27,2021/1/11,2021/2/13,2021/2/14,2021/3/31,2021/6/22,2021/6/23,2021/8/23,2021/12/2,2021/12/3,2022/2/21,
Akita,5,2020/4/2,2020/5/14,2020/5/15,2020/8/13,2020/9/10,2020/9/11,2021/1/20,2021/2/12,2021/2/13,2021/5/14,2021/6/10,2021/6/11,2021/8/25,2021/11/19,2021/11/20,2022/1/30,
Yamagata,6,2020/4/15,2020/5/14,2020/5/15,2020/7/16,2020/9/6,2020/9/7,2020/12/15,2021/3/6,2021/3/7,2021/3/31,2021/6/26,2021/6/27,2021/8/23,2021/11/10,2021/11/11,2022/2/7,
Fukushima,7,2020/4/10,2020/5/15,2020/5/16,2020/8/29,2020/9/23,2020/9/24,2021/1/11,2021/2/22,2021/2/23,2021/5/13,2021/6/17,2021/6/18,2021/8/18,2021/11/17,2021/11/18,2022/2/8,
Ibaraki,8,2020/4/7,2020/5/14,2020/5/15,2020/8/3,2020/9/24,2020/9/25,2021/1/17,2021/2/28,2021/3/1,2021/5/17,2021/6/21,2021/6/22,2021/8/23,2021/12/4,2021/12/5,2022/2/12,
Tochigi,9,2020/4/13,2020/6/1,2020/6/2,2020/8/8,2020/10/13,2020/10/14,2021/1/11,2021/2/28,2021/3/1,2021/5/19,2021/6/19,2021/6/20,2021/8/25,2021/11/26,2021/11/27,2022/2/20,
Gunma,10,2020/4/16,2020/5/14,2020/5/15,2020/8/20,2020/9/29,2020/9/30,2021/1/10,2021/3/11,2021/3/12,2021/5/13,2021/6/24,2021/6/25,2021/8/24,2021/11/10,2021/11/11,2022/2/5,
Saitama,11,2020/4/16,2020/5/27,2020/5/28,2020/8/8,2020/9/23,2020/9/24,2021/1/20,2021/3/21,2021/3/22,2021/5/14,2021/6/19,2021/6/20,2021/8/21,2021/11/24,2021/11/25,2022/2/11,
Chiba,12,2020/4/17,2020/5/28,2020/5/29,2020/8/7,2020/9/27,2020/9/28,2021/1/19,2021/4/11,2021/4/12,2021/5/14,2021/6/12,2021/6/13,2021/8/21,2021/11/29,2021/11/30,2022/2/10,
